Year,Bed,Bath,Sqft
2022,1,1,692
2022,1,2,848
2022,1,2,994
2022,1,3,1258
2022,1,2,813
2022,2,3,1145
2022,2,2,1608
2022,2,2,1570
2022,2,1,913
2022,2,3,2828
2022,3,4,1688
2022,3,2,4820
2022,3,4,2200
2022,3,3,2452
2022,3,3,3011
2022,4,4,4111
2022,4,3,2261
2022,4,1,2224
2022,4,4,3014
2022,4,2,1700
2022,5,3,2490
2022,5,2,2437
2022,5,4,1920
2022,5,2,2035
2022,5,6,2087
2022,6,3,4205
2022,6,3,2552
2022,6,5,2637
2022,6,3,3389
2022,6,2,3251
2022,7,4,2000
2022,7,2,2016
2022,7,5,3512
2022,7,2,4599
2022,7,4,4110
2022,8,4,4053
2022,8,2,1989
2022,8,3,3458
2022,8,6,2730
2022,8,4,3500
2022,9,4,2697
2022,9,7,3472
2022,9,4,4884
2022,9,3,2147
2022,9,3,2386
2022,10,8,5511
2022,11,9,4782
2022,12,10,6951
2022,13,12,8614
2022,14,16,7885
