Year,Date,Bed,Bath,Sqft,price,Address
2014,02-Jul-14,2,3,1755,795500,2967 Wall Street
2014,01-Mar-14,2,2,1055,769000,2483 West 8th Avenue
2014,28-May-14,2,3,1070,988000,2315 Balsam Street
2014,02-Jul-14,2,2,1193,645900,2977 Wall Street
2014,26-Nov-14,2,3,2069,1488000,2176 West 15th Avenue
2014,07-Feb-14,2,2,1700,2750000,1281 West Cordova Street
2014,09-Jul-14,2,2,1594,949000,3628 St George Street
2014,05-Aug-14,2,1,705,575000,3181 West 3rd Avenue
2014,14-Feb-14,2,2,1015,625000,2-2017 West 15th Avenue
2014,19-Feb-14,2,2,1176,709000,1866 West 11th Avenue
2014,01-Mar-14,3,3,1190,648000,8492 Cartier Street
2014,28-May-14,3,4,2774,899000,833 East 12th Avenue
2014,28-May-14,3,2,2140,858000,275 East 64th Avenuee
2014,30-Sep-14,3,4,3600,3880000,1870 Sasamat Street
2014,26-Nov-14,3,3,2280,2658000,2061 West 53rd Avenue
2014,26-Nov-14,3,3,1763,579000,2209 Portside Ct
2014,27-Dec-14,3,4,2260,1598000,865 West 14th Avenue
2014,04-Apr-14,3,3,2040,1590000,2238 West 15th Avenue
2014,08-Jul-14,3,1,900,699000,4545 Picton Street
2014,08-Jul-14,3,4,3051,1588000,2820 West 11th Avenue
2014,29-May-14,4,2,1923,879000,1343 East 21st Avenue
2014,29-May-14,4,4,1980,1699000,2439 West 5th Avenue
2014,29-May-14,4,2,1894,1548000,6677 Vine Street
2014,20-Oct-14,4,6,3452,2600000,351 West 17th Avenue
2014,20-Oct-14,4,3,2098,1149000,451 East 47th Avenue
2014,01-Dec-14,4,3,2746,999900,2110 East 6th Avenue
2014,04-Apr-14,4,5,3285,2549000,404 West 17th Avenue
2014,04-Apr-14,4,3,1800,578800,3365 Flagstaff Place
2014,02-Jul-14,4,2,1700,929000,2061 East 40th Avenue
2014,15-May-14,4,2,1928,1679000,3265 West 13th Avenue
2014,28-Feb-14,5,4,3798,2998000,3161 West 43rd Avenue
2014,28-May-14,5,2,2196,998888,4011 Slocan Street
2014,24-Oct-14,5,3,2743,1079000,2191 East 32nd Avenue
2014,29-Oct-14,5,6,4005,3880000,3630 West 34th Avenue
2014,01-Dec-14,5,4,4816,4698000,4387 Marguerite Street
2014,13-Feb-14,5,4,2935,1850000,2793 West 22nd Avenue
2014,02-Jul-14,5,7,6510,6880000,6768 Arbutus Street
2014,22-Sep-14,5,4,1870,1098000,5272  Windsor Street
2014,22-Sep-14,5,3,2550,1599000,2828 West 13th Avenue
2014,16-Dec-14,5,6,2821,3050000,3635 West 21st Avenue
2014,28-Feb-14,6,3,2567,999000,1552 East 10th Avenue
2014,01-Mar-14,6,4,2737,1598000,218 West 17th Avenue
2014,30-Sep-14,6,3,2994,2198000,6610 Yew Street
2014,26-Nov-14,6,4,2428,1998000,118 West 11th Avenue
2014,27-Dec-14,6,3,2780,1349000,7741 Kinross Street
2014,13-Feb-14,6,3,2300,898000,7347 Culloden Street
2014,16-Dec-14,6,4,2946,2280000,3771 West 11th Avenue
2014,07-Feb-14,6,2,1932,889000,5644 Argyle street
2014,07-Feb-14,6,2,2924,1699000,1734 Collingwood street
2014,13-Feb-14,6,4,3818,2288000,2979 West 38th Avenue
2014,02-Jul-14,7,6,4444,3398000,1199 West 43rd Avenuen
2014,24-Dec-14,7,8,4099,1872000,2988 East 49th Avenue
2014,24-Dec-14,7,4,2520,978000,7329 Knight Street
2014,24-Dec-14,7,6,3796,2598000,469 West 46th Avenue
2014,15-May-14,7,7,4428,2988000,2285 West 16th Avenue
2014,25-Jul-14,7,6,4734,2069000,2042 Bayswater Street
2014,08-Dec-14,7,3,4260,4955000,2956 Point Grey Road
2014,08-Dec-14,7,6,3700,2985000,2658 West 15th Avenue
2014,08-Dec-14,7,5,4624,2850000,1865 West 15th Avenue
2014,08-Dec-14,7,5,3250,2588800,3116 West 2nd Avenue
2015,18-Sep-15,2,2,1258,850000,55 West 15th Avenue
2015,24-Mar-15,2,2,813,499900,3159 West 4th Avenue
2015,09-May-15,2,2,1145,499800,463 East 48th Avenue
2015,09-May-15,2,3,2871,2350000,2428 Crown Street
2015,09-May-15,2,2,886,798000,2999 West 39th Avenue
2015,09-May-15,2,2,1112,1350000,436 East 12th Avenue
2015,09-May-15,2,2,946,398000,1180 East King Edward Avenue
2015,09-May-15,2,2,1004,298500,2756 East 43rd Avenue
2015,07-Sep-15,2,3,1556,1598000,2115 West 1st Avenue
2015,07-Sep-15,2,2,1998,2088000,2896 West 42nd Avenue
2015,01-Jan-15,3,4,1570,1178000,2721 West 5th Avenue
2015,23-Mar-15,3,2,1100,1288000,3025 East 7th Avenue
2015,16-Sep-15,3,3,2828,625000,1470 Laburnum Street
2015,18-Nov-15,3,2,1688,1598000,5783 Sophia Street
2015,09-May-15,3,3,4820,6888000,5560 Chester Street
2015,22-Jul-15,3,2,2200,1100000,3024 East 17th Avenue
2015,07-Feb-15,3,1,2527,1499999,6519 Yew Street
2015,09-May-15,3,3,1440,746000,2419 Cambridge Street
2015,09-May-15,3,2,975,679900,4807 Paton Street
2015,09-May-15,3,2,888,748000,983 Westbury Walk
2015,08-Feb-15,4,3,2452,1698000,785 West 26th Avenue
2015,04-May-15,4,3,2607,1490000,4960 ROSS Street
2015,24-May-15,4,2,2851,2858000,4056 West 33rd Avenue
2015,27-Jun-15,4,1,2261,2488000,3707 West 39th Avenue
2015,16-Sep-15,4,2,2224,429000,1813 Quebec Street
2015,18-Nov-15,4,5,2736,2588000,49 West 62nd Avenue
2015,12-Dec-15,4,3,2101,1298800,5140 Windsor Street
2015,18-Mar-15,4,3,2490,1850000,2806 Manitoba Street
2015,17-Jul-15,4,5,2437,2588000,2918 Waterloo Street
2015,23-Jul-15,4,4,1920,1590000,3833 Macdonald Street
2015,02-Mar-15,5,2,2035,898000,870 East 33rd Avenue
2015,17-Mar-15,5,2,2087,1458000,3608 Dunbar Street
2015,24-May-15,5,6,4205,2955000,1026 West 50th Avenue
2015,29-Jun-15,5,3,2552,1828000,82 West 45th Avenue
2015,21-Jul-15,5,4,2637,2289900,3672 West 15th Avenue
2015,18-Mar-15,5,6,3389,1828000,1730 Upland Drive
2015,24-Mar-15,5,4,3251,1499900,5788 St. Margarets Street
2015,24-Mar-15,5,4,2000,1198000,3318 East 29th Avenue
2015,09-May-15,5,2,2016,1288000,2312 Oliver Crescent
2015,23-Jul-15,5,2,2400,1290000,2415 Kaslo Street
2015,03-Apr-15,6,6,4110,4360000,3749 West 11TH Avenue
2015,03-Apr-15,6,4,4053,2390000,625 West 54TH Avenue
2015,04-May-15,6,2,1600,919800,1779 East 34TH Avenue
2015,24-May-15,6,2,3458,2488000,3503 West 42nd Avenue
2015,16-Sep-15,6,3,2730,2088000,5556 Alma Street
2015,19-Dec-15,6,3,3500,3188000,1459 West 41st Avenue
2015,18-Mar-15,6,3,2697,930000,3015 East 14th Avenue
2015,27-Apr-15,6,2,1600,919800,5871 Boundary Road
2015,09-May-15,6,7,4884,3680000,3465 West 20th Avenue
2015,17-Jul-15,6,4,2147,1488000,1536 East 49th Avenue
2015,03-Mar-15,7,6,5511,4380000,6550 East Bv
2015,03-Apr-15,7,6,3265,1758888,1455 East 61ST Avenue
2015,27-Jun-15,7,5,3122,2598000,4279 Doncaster Way
2015,19-Oct-15,7,7,5160,3950000,1182 W. KING EDWARD Avenue
2015,22-Oct-15,7,5,3864,2399000,2111 SW Marine Drive
2015,07-Feb-15,7,4,3465,2298000,3362 West 30th Avenue
2015,09-May-15,7,4,2914,1398000,5966 Oak Street
2015,09-May-15,7,7,2515,839000,2688 West 39th Avenue
2015,09-May-15,7,5,3539,1495000,6088 Churchill Street
2015,09-May-15,7,4,4175,1298888,1496 Mcrae Avenue
2016,24-Mar-16,2,3,1228,1179000,1805 West 11th Avenue
2016,07-Nov-16,2,1,1706,1228000,1956 Graveley Street
2016,06-Oct-16,2,3,2519,5950000,1128 West Georgia St
2016,30-Mar-16,2,2,984,669000,1-1250 W 6th Avenue
2016,20-Mar-16,2,1,1058,888000,2540 Spruce Street
2016,08-Apr-16,2,4,1578,1288000,2-2820 W 41st Avenue
2016,17-Apr-16,2,3,1759,1888000,2595 W 1st Avenue
2016,17-Apr-16,2,2,921,689900,645 W 7th Avenue
2016,17-Apr-16,2,2,1322,988000,1845 W 11th Avenue
2016,11-May-16,2,1,1998,1398000,2652 Franklin Street
2016,30-Aug-16,3,2,1927,1388000,2206 Mcbain Avenue
2016,30-Aug-16,3,3,1522,1098000,1810 E Pender Street
2016,13-Mar-16,3,3,2479,2998800,6568 Vine Street
2016,20-Jun-16,3,2,1421,1248000,8456 Hudson Street
2016,23-Aug-16,3,2,1313,419000,3456 Nairn Avenue
2016,30-Mar-16,3,2,2200,2700000,759 W 50th Avenue
2016,01-Apr-16,3,1,2051,1468000,4257 Beatrice Street
2016,08-Apr-16,3,2,2328,1688000,1360 Graveley Street
2016,17-Apr-16,3,3,2760,2168000,2624 W 3rd Avenue
2016,24-Apr-16,3,2,2031,3500000,426 BEACH CRESCENT
2016,30-Aug-16,4,2,2400,5000000,3538 W 29th Avenue
2016,30-Aug-16,4,2,1526,1199000,3234 Adanac Street
2016,30-Aug-16,4,3,2720,3885000,403 Beach Crescent
2016,19-Nov-16,4,2,1500,1648000,2750 E 1st Avenue
2016,06-Jan-16,4,3,2101,1298800,5140 Windsor St
2016,17-Sep-16,4,1,1810,1399999,2048 EAST 28TH AVENUE
2016,30-Jul-16,4,3,2201,1399000,2511 Trinity Street
2016,30-Mar-16,4,2,2464,1299000,2843 Woodland Drive
2016,13-Mar-16,4,2,1825,1398000,1440 E King Edward Avenue
2016,20-Mar-16,4,2,2352,2398000,8555 Montcalm Street
