Year,Bed,Bath,Sqft,price
2014,2,3,1755,795500
2014,2,2,1055,769000
2014,2,3,1070,988000
2014,2,2,1193,645900
2014,2,3,2069,1488000
2014,2,2,1700,2750000
2014,2,2,1594,949000
2014,2,1,705,575000
2014,2,2,1015,625000
2014,2,2,1176,709000
2014,3,3,1190,648000
2014,3,4,2774,899000
2014,3,2,2140,858000
2014,3,4,3600,3880000
2014,3,3,2280,2658000
2014,3,3,1763,579000
2014,3,4,2260,1598000
2014,3,3,2040,1590000
2014,3,1,900,699000
2014,3,4,3051,1588000
2014,4,2,1923,879000
2014,4,4,1980,1699000
2014,4,2,1894,1548000
2014,4,6,3452,2600000
2014,4,3,2098,1149000
2014,4,3,2746,999900
2014,4,5,3285,2549000
2014,4,3,1800,578800
2014,4,2,1700,929000
2014,4,2,1928,1679000
2014,5,4,3798,2998000
2014,5,2,2196,998888
2014,5,3,2743,1079000
2014,5,6,4005,3880000
2014,5,4,4816,4698000
2014,5,4,2935,1850000
2014,5,7,6510,6880000
2014,5,4,1870,1098000
2014,5,3,2550,1599000
2014,5,6,2821,3050000
2014,6,3,2567,999000
2014,6,4,2737,1598000
2014,6,3,2994,2198000
2014,6,4,2428,1998000
2014,6,3,2780,1349000
2014,6,3,2300,898000
2014,6,4,2946,2280000
2014,6,2,1932,889000
2014,6,2,2924,1699000
2014,6,4,3818,2288000
2014,7,6,4444,3398000
2014,7,8,4099,1872000
2014,7,4,2520,978000
2014,7,6,3796,2598000
2014,7,7,4428,2988000
2014,7,6,4734,2069000
2014,7,3,4260,4955000
2014,7,6,3700,2985000
2014,7,5,4624,2850000
2014,7,5,3250,2588800
2015,2,2,1258,850000
2015,2,2,813,499900
2015,2,2,1145,499800
2015,2,3,2871,2350000
2015,2,2,886,798000
2015,2,2,1112,1350000
2015,2,2,946,398000
2015,2,2,1004,298500
2015,2,3,1556,1598000
2015,2,2,1998,2088000
2015,3,4,1570,1178000
2015,3,2,1100,1288000
2015,3,3,2828,625000
2015,3,2,1688,1598000
2015,3,3,4820,6888000
2015,3,2,2200,1100000
2015,3,1,2527,1499999
2015,3,3,1440,746000
2015,3,2,975,679900
2015,3,2,888,748000
2015,4,3,2452,1698000
2015,4,3,2607,1490000
2015,4,2,2851,2858000
2015,4,1,2261,2488000
2015,4,2,2224,429000
2015,4,5,2736,2588000
2015,4,3,2101,1298800
2015,4,3,2490,1850000
2015,4,5,2437,2588000
2015,4,4,1920,1590000
2015,5,2,2035,898000
2015,5,2,2087,1458000
2015,5,6,4205,2955000
2015,5,3,2552,1828000
2015,5,4,2637,2289900
2015,5,6,3389,1828000
2015,5,4,3251,1499900
2015,5,4,2000,1198000
2015,5,2,2016,1288000
2015,5,2,2400,1290000
2015,6,6,4110,4360000
2015,6,4,4053,2390000
2015,6,2,1600,919800
2015,6,2,3458,2488000
2015,6,3,2730,2088000
2015,6,3,3500,3188000
2015,6,3,2697,930000
2015,6,2,1600,919800
2015,6,7,4884,3680000
2015,6,4,2147,1488000
2015,7,6,5511,4380000
2015,7,6,3265,1758888
2015,7,5,3122,2598000
2015,7,7,5160,3950000
2015,7,5,3864,2399000
2015,7,4,3465,2298000
2015,7,4,2914,1398000
2015,7,7,2515,839000
2015,7,5,3539,1495000
2015,7,4,4175,1298888
2016,2,3,1228,1179000
2016,2,1,1706,1228000
2016,2,3,2519,5950000
2016,2,2,984,669000
2016,2,1,1058,888000
2016,2,4,1578,1288000
2016,2,3,1759,1888000
2016,2,2,921,689900
2016,2,2,1322,988000
2016,2,1,1998,1398000
2016,3,2,1927,1388000
2016,3,3,1522,1098000
2016,3,3,2479,2998800
2016,3,2,1421,1248000
2016,3,2,1313,419000
2016,3,2,2200,2700000
2016,3,1,2051,1468000
2016,3,2,2328,1688000
2016,3,3,2760,2168000
2016,3,2,2031,3500000
2016,4,2,2400,5000000
2016,4,2,1526,1199000
2016,4,3,2720,3885000
2016,4,2,1500,1648000
2016,4,3,2101,1298800
2016,4,1,1810,1399999
2016,4,3,2201,1399000
2016,4,2,2464,1299000
2016,4,2,1825,1398000
2016,4,2,2352,2398000
2016,5,2,2760,2198800
2016,5,4,4145,7688000
2016,5,2,2080,1288000
2016,5,5,4592,7380000
2016,5,4,4536,3988000
2016,5,2,3015,4688000
2016,5,6,3895,3498000
2016,5,3,3531,2638000
2016,5,5,3934,4380000
2016,5,3,2399,1985000
2016,6,2,2250,1649000
2016,6,4,3750,1880000
2016,6,7,4236,5888000
2016,6,3,2480,2288000
2016,6,3,2655,3088000
2016,6,3,3254,2388000
2016,6,3,3610,3188000
2016,6,4,3200,859900
2016,6,5,3020,2788000
2016,6,2,2301,950000
2016,7,5,3168,2000000
2016,7,3,2661,1999000
2016,7,3,2700,1098000
2016,7,6,11019,11988000
2016,7,4,3819,4880000
2016,7,4,3340,3288000
2016,7,3,2800,1436000
2016,7,7,5907,5988000
2016,7,6,3731,4560000
2016,7,8,5317,2588000
2017,2,2,1776,1549000
2017,2,1,6039,1670000
2017,2,1,1550,1680000
2017,2,2,1114,769900
2017,2,1,1516,1946200
2017,2,3,1222,890000
2017,2,2,903,750000
2017,2,2,1631,1598000
2017,2,1,900,1298800
