Year,Bed,Bath,Sqft
2022,2,1,692
2022,2,2,848
2022,2,2,994
2022,2,3,1258
2022,2,2,813
2022,2,3,1145
2022,2,2,1608
2022,2,2,1570
2022,2,1,913
2022,2,4,2828
2022,3,1,1688
2022,3,2,4820
2022,3,4,2200
2022,3,3,2452
2022,3,3,3011
2022,3,4,4111
2022,3,3,2261
2022,3,4,2224
2022,3,5,3014
2022,3,2,1700
2022,4,3,2490
2022,4,2,2437
2022,4,1,1920
2022,4,2,2035
2022,4,5,2087
2022,4,6,4205
2022,4,3,2552
2022,4,4,2637
2022,4,3,3389
2022,4,2,3251
2022,5,4,2000
2022,5,2,2016
2022,5,5,3512
2022,5,2,4599
2022,5,7,4110
2022,5,4,4053
2022,5,2,1989
2022,5,3,3458
2022,5,4,2730
2022,5,6,3500
2022,6,2,2697
2022,6,7,3472
2022,6,4,4884
2022,6,3,2147
2022,6,3,2386
2022,6,9,5511
2022,6,9,4782
2022,6,6,6951
2022,6,3,3015
2022,6,4,2971
2022,7,2,1896
2022,7,3,2015
2022,7,4,3718
2022,7,5,4011
2022,7,6,3951
2022,7,7,4533
2022,7,8,3422
2022,7,9,3977
2022,7,10,5015
2022,7,7,4261
