Year,Date,Bed,Bath,Sqft,price,Address
2014,28-Feb-14,1,1,625,249900,#211 680 East 5th Avenue
2014,28-Feb-14,1,2,938,525000,#113 West 43rd Avenue
2014,28-Feb-14,1,1,718,384900,#104 1775 West 11th Avenue
2014,28-Feb-14,1,1,719,389000,#207 1775 West 11th Avenue
2014,01-Mar-14,1,1,645,309000,#207 550 East 7th Avenue
2014,28-May-14,1,1,655,365000,#217 2416 West 3RD Avenue
2014,28-May-14,1,1,1031,598000,#305 1066 HAMILTON Street
2014,28-May-14,1,1,755,445000,#202 2365 West 3RD Avenue
2014,29-May-14,1,1,687,468000,#307 2388 Western Parkway
2014,29-May-14,1,1,520,299000,#302 1610 East 5TH Avenue
2014,30-Sep-14,1,1,620,428000,#301 2768 Cranberry Drive
2014,30-Sep-14,1,1,730,424900,#301 1345 West 15th Avenue
2014,30-Sep-14,1,1,603,369800,#305 3083 West 4th Avenue 
2014,30-Sep-14,1,1,710,619000,#3104 1189 Melville Street
2014,30-Sep-14,1,1,573,529900,#1808 1308 Hornby Street 
2014,20-Oct-14,1,1,560,282000,#302 2408 East BROADWAY Street
2014,29-Oct-14,1,1,581,398800,#1202 822 Seymour Street 
2014,26-Nov-14,1,2,1017,689000,#402 1066 HAMILTON Street
2014,26-Nov-14,1,2,938,449000,#113 1001 West 43RD Avenue
2014,01-Dec-14,1,1,587,289800,#307 3319 Kingsway 
2014,07-Feb-14,1,1,645,478888,#3704 128 West Cordova Street
2014,07-Feb-14,1,1,804,699800,#406 535 Nicola Street
2014,07-Feb-14,1,1,682,479000,#2204 833 Seymour Street
2014,13-Feb-14,1,1,603,379000,#305 3083 West 4th Avenue
2014,13-Feb-14,1,1,454,313800,#609 138 West 1st Avenue
2014,04-Apr-14,1,1,684,219900,#107 8430 Jellicoe Street
2014,04-Apr-14,1,1,642,378000,#106 1500 Pendrell Street
2014,04-Apr-14,1,1,581,488000,#2303 1325 Rolston Street
2014,02-Jul-14,1,2,1115,1249000,#403 323 Jervis Street
2014,02-Jul-14,1,1,450,312800,#1007 819 Hamilton Street
2014,28-Feb-14,2,2,1180,799000,#5A 735 Bidwell Street
2014,28-Feb-14,2,2,1013,888000,#1203 1020 Hardwood Street
2014,28-Feb-14,2,2,1128,898000,#202 6093 IONA Drive
2014,28-Feb-14,2,2,1137,648000,#2003 950 Cambie Street
2014,28-Feb-14,2,2,997,515000,#209 3131 Main Street
2014,01-Mar-14,2,2,905,599900,#107 2175 Salal Drive
2014,01-Mar-14,2,2,765,439500,#105 1333 West 7th Avenue
2014,28-May-14,2,2,980,539000,#308 988 West 54TH Avenue
2014,28-May-14,2,2,840,598000,#320 5777 BIRNEY Avenue
2014,29-May-14,2,2,961,998000,#2803 888 Homer Street 
2014,30-Sep-14,2,2,998,595000,#1002 1165 Burnaby Street 
2014,30-Sep-14,2,2,1050,270000,#310 640 Main Street 
2014,30-Sep-14,2,2,1114,890000,#101 3720 West 8TH Avenue
2014,30-Sep-14,2,2,1384,1198000,#1501 1277 Melville Street 
2014,30-Sep-14,2,3,1831,3350000,#4103 1011 West Cordova Street 
2014,24-Oct-14,2,2,973,629000,#903 833 SEYMOUR Street
2014,29-Oct-14,2,3,1764,1269000,#201 638 West 45th Avenue
2014,29-Oct-14,2,2,1267,219900,#302 130 Abbott Street
2014,29-Oct-14,2,2,884,615000,#1103 1570 West 7th Avenue
2014,26-Nov-14,2,3,1350,1238000,#3105 833 HOMER Street
2014,13-Feb-14,2,2,1395,1990000,#3204 667 Howe Street
2014,13-Feb-14,2,2,964,688000,#513 888 Beach Avenue
2014,07-Feb-14,2,2,1819,1388000,#1003 1428 West 7th Avenue
2014,04-Apr-14,2,1,952,565000,#3 3050 Ontario Street
2014,04-Apr-14,2,1,820,460000,#314 1550 Barclay Street
2014,04-Apr-14,2,3,2681,4488000,#56202 1128 West Georgia Street
2014,06-Apr-14,2,2,1700,2880000,#2801 1281 West Cordova Street
2014,06-Apr-14,2,3,1690,2698000,#1602 499 Broughton Street
2014,10-Apr-14,2,1,863,489000,#416 5835 Hampton Place
2014,02-Jul-14,2,1,700,335000,#306 5189 Gaston Street
2014,18-Jan-14,3,2,1213,699000,#701 618 Abbott Street
2014,18-Jan-14,3,3,2170,2045900,#1501 1372 Seymour Street
2014,18-Jan-14,3,2,1063,699900,#2804 1189 Howe Street
2014,18-Jan-14,3,2,1205,849955,#803 633 Abbott Street
2014,01-Mar-14,3,2,1335,1568000,#1705 1483 Homer Street
2014,01-Mar-14,3,2,1339,1299000,#601 1499 West Pender Street
2014,21-Mar-15,3,3,1900,1880000,#3701 689 Abbott Street
2014,21-Mar-15,3,3,2170,2065900,#1701 1372 Seymour Street
2014,21-Mar-15,3,2,1245,749000,#3302 688 Abbott Street
2014,21-May-14,3,2,2042,2290000,#303 1102 Hornby Street
2014,21-May-14,3,3,1525,1744900,#Ph3 1283 Howe Street
2014,21-May-14,3,4,4996,9980000,#4701 938 Nelson Street
2014,21-May-14,3,2,1225,718000,#616 618 Abbott Street
2014,21-Jul-14,3,2,1307,1169000,#2902 788 Richards Street
2014,21-Jul-14,3,5,2283,2688000,#Ph5 833 Seymour Street
2014,21-Jul-14,3,2,2050,1975000,#304 1102 Hornby Street
2014,20-Sep-14,3,2,1007,649000,#805 867 Hamilton Street
2014,20-Sep-14,3,3,2251,2975000,#2901 499 Pacific Street
2014,20-Sep-14,3,4,3291,3495000,#3205 610 Granville Street
2014,24-Dec-14,3,2,1288,1220000,#5005 777 Richards Street
2014,24-Dec-14,3,3,1667,1975000,#2502 499 Pacific Street
2014,24-Dec-14,3,4,2107,3190000,#4003 667 Howe Street
2014,10-Apr-14,3,2,1413,959900,#1803 888 Pacific Street
2014,10-Apr-14,3,3,1560,1488800,#2303 638 Beach Crescent
2014,24-Dec-14,3,1,875,369000,#407 1958 East 47th Avenue
2014,24-Dec-14,3,2,1449,999888,#1002 717 Jervis Street
2014,25-Dec-14,3,2,1380,1350000,#1102 1228 Marinaside Crescent
2014,28-Sep-14,3,2,1110,1090000,#209 4885 Valley Drive
2014,05-Aug-14,3,3,2423,928000,#701 1408 Strathmore Mews
2014,05-Aug-14,3,3,2839,1588000,#1202 738 Broughton Street
2015,01-Jan-15,1,1,695,438000,#212 256 East 2ND AvEastnuEast
2015,02-Mar-15,1,1,675,438000,#403 2525 Blenheim Street 
2015,02-Mar-15,1,2,1050,975000,#702 1835 Morton Avenue
2015,02-Mar-15,1,1,638,329000,#307 2008 East 54th Avenue
2015,02-Mar-15,1,1,692,294900,#207 1540 East 4th Avenue
2015,03-Apr-15,1,1,762,479000,#302 1438 West 7TH Avenue
2015,03-Apr-15,1,1,740,610000,#3301 1495 RICHARDS Street
2015,03-Apr-15,1,1,575,419500,#405 2195 West 5TH Avenue
2015,17-Apr-15,1,1,675,300000,#207 725 Commercial Drive
2015,17-Apr-15,1,1,689,399800,#216 1405 West 15th Avenue
2015,04-May-15,1,1,675,357000,#207 2355 West BROADWAY
2015,04-May-15,1,2,1111,849900,#504 310 WATER Street
2015,04-May-15,1,1,640,378900,#307 1345 West 15TH Avenue
2015,12-May-15,1,2,1215,910000,#103 4900 Cartier Street
2015,12-May-15,1,1,973,515000,#205 1502 Island Park Walk
2015,06-Aug-15,1,1,615,349000,#1203 1100 Harwood Street
2015,06-Aug-15,1,2,760,678000,#402 1499 West Pender Street
2015,07-Sep-15,1,1,650,177200,#311 3591 Oak Street
